order_id,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
1961864118,-5,0.96,On Time,
1549769649,2,0.98,On Time,Traffic
9185164487,4,3.83,On Time,Traffic
9644738826,-1,2.76,On Time,
5427684290,1,2.63,On Time,Traffic
3265154092,-1,1.94,On Time,
4898355547,1,2.2,On Time,Traffic
6568151549,2,1.3,On Time,Traffic
6006693867,3,3.38,On Time,Traffic
374186990,7,1.47,Slightly Delayed,Traffic
4455336265,-2,0.76,On Time,
3539286337,-5,3.68,On Time,
9171116867,12,2.23,Slightly Delayed,Traffic
5504941865,11,4.45,Slightly Delayed,Traffic
5868326481,-3,2.8,On Time,
2137046916,-2,1.78,On Time,
8195544338,8,1.16,Slightly Delayed,Traffic
2889700050,3,3.07,On Time,Traffic
65827885,-5,1.65,On Time,
4656471694,8,3.7,Slightly Delayed,Traffic
6625178717,13,4.22,Slightly Delayed,Traffic
7169557514,12,3.28,Slightly Delayed,Traffic
2268306684,-1,1.82,On Time,
6905293278,26,0.58,Significantly Delayed,Traffic
1769493463,-5,1.21,On Time,
5003387344,-5,4.52,On Time,
2064484752,-5,2.29,On Time,
964822979,-2,1.09,On Time,
6037899648,4,4.56,On Time,Traffic
9347571484,13,3.29,Slightly Delayed,Traffic
3286177534,-2,3.07,On Time,
9073572548,22,4.77,Significantly Delayed,Traffic
8395583761,-5,3.53,On Time,
6355378227,-1,3.91,On Time,
277376321,-1,3.85,On Time,
8559748526,1,0.94,On Time,Traffic
1458051433,-4,2.75,On Time,
5838302640,7,1.7,Slightly Delayed,Traffic
1380971977,-5,4.09,On Time,
1221099013,2,3.15,On Time,Traffic
6771166303,12,2.55,Slightly Delayed,Traffic
7111337755,-3,3.44,On Time,
5562922993,3,1.64,On Time,Traffic
5630957897,4,3.92,On Time,Traffic
1787380558,2,2.8,On Time,Traffic
32613017,0,4,On Time,
2039041670,15,2.12,Slightly Delayed,Traffic
210693801,2,2.5,On Time,Traffic
8120002258,-4,2.43,On Time,
2177917034,9,0.73,Slightly Delayed,Traffic
4254814926,-1,1.74,On Time,
6074172790,4,2.48,On Time,Traffic
3381573131,-5,4.91,On Time,
3773745777,0,3.31,On Time,
9251939156,7,2.35,Slightly Delayed,Traffic
3872982303,1,2.6,On Time,Traffic
2625987757,2,4.7,On Time,Traffic
3162249401,0,1.72,On Time,
3108986741,1,2.09,On Time,Traffic
1851474741,9,4.09,Slightly Delayed,Traffic
2425099132,4,1.07,On Time,Traffic
6706793332,12,2.99,Slightly Delayed,Traffic
2149289255,19,2.56,Significantly Delayed,Traffic
1971008155,-4,0.86,On Time,
2087093460,-1,0.77,On Time,
2116712588,3,4.26,On Time,Traffic
6054358790,-5,3.96,On Time,
532660797,14,4.9,Slightly Delayed,Traffic
1491991005,0,0.89,On Time,
4136019599,3,4.58,On Time,Traffic
2122832513,20,3.97,Significantly Delayed,Traffic
3717703595,-1,2.48,On Time,
3194733693,7,1.74,Slightly Delayed,Traffic
4471162437,0,3.78,On Time,
1609331948,0,1.56,On Time,
6920030794,-2,3.47,On Time,
5127172657,20,4.41,Significantly Delayed,Traffic
8607115856,-3,2.33,On Time,
7154957395,0,2.28,On Time,
2070762702,15,3.61,Slightly Delayed,Traffic
3697242439,-1,4.71,On Time,
3063427913,3,4.76,On Time,Traffic
2060061337,12,3.08,Slightly Delayed,Traffic
4625892678,4,2.74,On Time,Traffic
6045698170,5,3.86,On Time,Traffic
7876289647,12,2.54,Slightly Delayed,Traffic
3434084714,-2,3.51,On Time,
9031695663,6,3.71,Slightly Delayed,Traffic
1955989715,2,4.81,On Time,Traffic
3459500455,2,2.66,On Time,Traffic
5953376503,16,0.56,Significantly Delayed,Traffic
121874867,-5,3.08,On Time,
2460545397,11,2.53,Slightly Delayed,Traffic
9690050839,5,3.82,On Time,Traffic
2574349065,1,1.72,On Time,Traffic
2461936988,19,4.4,Significantly Delayed,Traffic
6447596416,-4,4.27,On Time,
7228452275,0,4.62,On Time,
6696750742,0,4.39,On Time,
822235931,15,1.42,Slightly Delayed,Traffic
7678251499,5,1.85,On Time,Traffic
2497341976,1,1.33,On Time,Traffic
9107314128,-1,2.2,On Time,
9855726256,-2,0.96,On Time,
9398719862,4,0.85,On Time,Traffic
379494532,2,3.39,On Time,Traffic
1048784963,-5,2.18,On Time,
4386246924,26,3.44,Significantly Delayed,Traffic
2050362692,3,3.48,On Time,Traffic
4142963293,3,1.26,On Time,Traffic
9753528654,-2,1.84,On Time,
8126970833,26,1.13,Significantly Delayed,Traffic
9747814712,3,1.23,On Time,Traffic
6281619403,-5,4.51,On Time,
436184281,27,0.74,Significantly Delayed,Traffic
9799231260,4,0.9,On Time,Traffic
4071811527,9,2.39,Slightly Delayed,Traffic
5645359563,-5,4.78,On Time,
9411813703,5,0.65,On Time,Traffic
4270217473,0,1.23,On Time,
279851011,-1,4.34,On Time,
6260524887,-4,3.76,On Time,
5853998391,-3,4.67,On Time,
9931976872,-4,3.03,On Time,
8432209832,12,4.17,Slightly Delayed,Traffic
6023721507,-1,2.05,On Time,
3042338919,-3,1.33,On Time,
233646065,5,4.89,On Time,Traffic
9870610018,-1,0.86,On Time,
1398230967,-4,4.81,On Time,
8615488922,21,3.94,Significantly Delayed,Traffic
2748841057,24,0.84,Significantly Delayed,Traffic
1375867721,-3,4.45,On Time,
8595141097,3,4.33,On Time,Traffic
4673382071,9,4.9,Slightly Delayed,Traffic
2948696008,-3,2.28,On Time,
6839692624,25,1.17,Significantly Delayed,Traffic
5770951298,-2,0.95,On Time,
5084771819,13,1.37,Slightly Delayed,Traffic
422403644,8,0.56,Slightly Delayed,Traffic
7176758896,1,2.94,On Time,Traffic
8252905093,1,3.25,On Time,Traffic
1488561572,-1,2.51,On Time,
6212984517,-2,1.27,On Time,
6309784337,0,4.05,On Time,
4613890018,0,3.82,On Time,
3429728472,9,1.25,Slightly Delayed,Traffic
267738904,14,4.28,Slightly Delayed,Traffic
3850416839,13,1.32,Slightly Delayed,Traffic
3412702479,5,1.11,On Time,Traffic
2016183232,11,1.63,Slightly Delayed,Traffic
3810280204,4,0.75,On Time,Traffic
2416767295,9,1.13,Slightly Delayed,Traffic
2283439407,4,0.57,On Time,Traffic
