product_id,product_name,category,brand,price
153019,Onions,Fruits & Vegetables,Aurora LLC,947.95
11422,Potatoes,Fruits & Vegetables,Ramaswamy-Tata,127.16
669378,Potatoes,Fruits & Vegetables,Chadha and Sons,212.14
848226,Tomatoes,Fruits & Vegetables,Barad and Sons,209.59
890623,Onions,Fruits & Vegetables,"Sangha, Nagar and Varty",354.52
965755,Bananas,Fruits & Vegetables,"Doshi, Sarraf and Sama",532.57
222892,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,869.22
516376,Onions,Fruits & Vegetables,Agarwal-Dhar,877.43
39154,Mangoes,Fruits & Vegetables,"Suresh, Bose and Bajwa",946.86
34186,Mangoes,Fruits & Vegetables,Mandal-Kar,925.65
196719,Bananas,Fruits & Vegetables,Yogi Group,217.5
478531,Carrots,Fruits & Vegetables,Uppal Group,825.46
812607,Potatoes,Fruits & Vegetables,Rege Group,416.65
818990,Tomatoes,Fruits & Vegetables,Dugar Group,163.55
14145,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",630.84
349294,Onions,Fruits & Vegetables,Ganesan Ltd,934.75
847349,Potatoes,Fruits & Vegetables,Chhabra-Agrawal,781.08
871592,Carrots,Fruits & Vegetables,"Shankar, Nadkarni and Kumer",870.29
284460,Potatoes,Fruits & Vegetables,"Ramakrishnan, Anand and Khare",505.95
473929,Carrots,Fruits & Vegetables,"Bhardwaj, Bhatia and Deshmukh",440.19
77308,Onions,Fruits & Vegetables,Ratta-Sagar,223.27
654297,Potatoes,Fruits & Vegetables,Chandran-Dass,13.25
70969,Carrots,Fruits & Vegetables,Mohan Group,631.7
552883,Potatoes,Fruits & Vegetables,"Balan, Patel and Mall",888.16
952124,Onions,Fruits & Vegetables,"Wali, Sood and Bala",127.08
397973,Bananas,Fruits & Vegetables,"Wable, Randhawa and Mutti",728.73
555121,Carrots,Fruits & Vegetables,"Subramanian, Chaudhuri and Dora",354.91
818522,Cheese,Dairy & Breakfast,Hora-Roy,96.09
462526,Curd,Dairy & Breakfast,Pau and Sons,449.97
376447,Butter,Dairy & Breakfast,Gara and Sons,724.84
217710,Eggs,Dairy & Breakfast,Rout-Sarna,58.59
146840,Bread,Dairy & Breakfast,"Bains, Deol and Vaidya",786.85
89084,Milk,Dairy & Breakfast,"Wali, Virk and Iyer",598.83
888807,Bread,Dairy & Breakfast,Arya Group,230.58
136533,Eggs,Dairy & Breakfast,"Raghavan, Magar and Shanker",826.21
714999,Bread,Dairy & Breakfast,Kala Group,882.51
382511,Butter,Dairy & Breakfast,Bora-Thakkar,702.54
15314,Cheese,Dairy & Breakfast,Banik-Ratta,578.85
67197,Butter,Dairy & Breakfast,Shetty-Bora,552.2
